"DISTRICT","2000 Pres.
 % Rep.","2000 Pres.  
% Dem.","2000 US 
Sen. % Rep.","2000 US Sen.
 % Dem.","1997 Gov. 
% Rep.","1997 Gov.
 % Dem.","1997 Lt.
 Gov. % Rep.","1997 Lt. Gov. 
% Dem.","1996 Pres. 
% Rep.","1996 Pres.
 % Dem.","1996 US 
Sen. % Rep.","1996 US Sen. 
% Dem."
37,50%,47%,48%,52%,53%,47%,51%,49%,50%,45%,60%,40%
38,40%,55%,39%,61%,43%,57%,42%,58%,40%,54%,52%,48%
39,46%,50%,46%,54%,52%,48%,50%,50%,46%,49%,57%,43%
40,56%,41%,55%,45%,60%,40%,59%,41%,55%,40%,62%,38%
41,52%,45%,50%,50%,56%,44%,55%,45%,50%,45%,59%,41%
42,50%,47%,50%,50%,58%,42%,57%,43%,50%,45%,57%,43%
43,44%,53%,44%,56%,53%,47%,50%,50%,43%,51%,51%,49%
44,42%,55%,41%,59%,49%,51%,48%,52%,43%,52%,52%,48%
45,36%,59%,35%,65%,38%,62%,37%,63%,37%,60%,49%,51%
46,34%,62%,34%,66%,41%,59%,39%,61%,33%,62%,45%,55%
47,34%,61%,34%,66%,38%,62%,36%,64%,35%,60%,48%,52%
48,37%,58%,35%,65%,38%,62%,37%,63%,37%,58%,50%,50%
49,32%,63%,32%,68%,37%,63%,36%,64%,32%,63%,44%,56%
50,56%,41%,58%,42%,65%,35%,63%,37%,53%,39%,57%,43%
51,46%,51%,48%,52%,61%,39%,58%,42%,45%,47%,48%,52%
52,47%,51%,48%,52%,62%,38%,60%,40%,45%,47%,49%,51%
53,44%,51%,43%,57%,47%,53%,45%,55%,44%,51%,54%,46%
54,57%,41%,55%,45%,57%,43%,53%,47%,51%,42%,54%,46%
55,69%,29%,68%,32%,71%,29%,67%,33%,64%,29%,60%,40%
56,58%,40%,59%,41%,61%,39%,55%,45%,50%,42%,52%,48%
57,38%,54%,36%,64%,44%,56%,35%,65%,39%,56%,48%,52%
58,54%,41%,54%,46%,60%,40%,50%,50%,52%,42%,57%,43%
59,54%,44%,54%,46%,55%,45%,39%,61%,44%,47%,47%,53%
60,57%,41%,56%,44%,63%,37%,49%,51%,49%,43%,51%,49%
61,56%,43%,57%,43%,61%,39%,44%,56%,48%,45%,52%,48%
62,59%,40%,60%,40%,63%,37%,59%,41%,51%,40%,50%,50%
63,33%,66%,36%,64%,42%,58%,38%,62%,30%,64%,33%,67%
64,58%,41%,56%,44%,60%,40%,57%,43%,49%,43%,53%,47%
65,68%,31%,67%,33%,71%,29%,68%,32%,64%,29%,62%,38%
66,68%,30%,68%,32%,74%,26%,69%,31%,64%,28%,60%,40%
67,55%,42%,55%,45%,60%,40%,59%,41%,54%,41%,59%,41%
68,55%,41%,53%,47%,60%,40%,60%,40%,55%,38%,58%,42%
69,22%,77%,24%,76%,31%,69%,30%,70%,23%,72%,26%,74%
70,29%,69%,31%,69%,37%,63%,35%,65%,29%,65%,32%,68%
71,23%,71%,23%,77%,26%,74%,26%,74%,23%,73%,28%,72%
72,67%,31%,64%,36%,69%,31%,66%,34%,67%,28%,66%,34%
73,63%,35%,61%,39%,67%,33%,65%,35%,61%,33%,60%,40%
74,25%,75%,27%,73%,32%,68%,30%,70%,24%,71%,26%,74%
75,42%,57%,42%,58%,47%,53%,43%,57%,33%,60%,39%,61%
76,57%,42%,56%,44%,61%,39%,59%,41%,49%,43%,56%,44%
77,34%,65%,34%,66%,40%,60%,38%,62%,28%,67%,35%,65%
78,62%,37%,59%,41%,67%,33%,65%,35%,55%,37%,59%,41%
79,47%,52%,45%,55%,53%,47%,51%,49%,42%,50%,52%,48%
80,26%,74%,26%,74%,33%,67%,31%,69%,21%,73%,31%,69%
81,58%,40%,55%,45%,58%,42%,55%,45%,48%,43%,54%,46%
82,62%,35%,57%,43%,62%,38%,61%,39%,59%,35%,69%,31%
83,51%,48%,49%,51%,58%,42%,58%,42%,46%,46%,53%,47%
84,55%,44%,54%,46%,61%,39%,59%,41%,47%,44%,52%,48%
85,59%,40%,56%,44%,64%,36%,63%,37%,54%,39%,61%,39%
86,49%,48%,46%,54%,51%,49%,47%,53%,45%,47%,57%,43%
87,51%,48%,49%,51%,57%,43%,55%,45%,44%,48%,54%,46%
88,40%,57%,37%,63%,41%,59%,38%,62%,35%,59%,49%,51%
89,23%,77%,23%,77%,31%,69%,28%,72%,19%,76%,28%,72%
90,30%,70%,30%,70%,38%,62%,35%,65%,26%,69%,35%,65%
91,56%,42%,53%,47%,59%,41%,57%,43%,50%,41%,60%,40%
92,22%,77%,24%,76%,31%,69%,31%,69%,21%,73%,29%,71%
93,52%,47%,50%,50%,61%,39%,59%,41%,48%,45%,55%,45%
94,56%,42%,52%,48%,61%,39%,58%,42%,53%,41%,63%,37%
95,31%,69%,31%,69%,39%,61%,37%,63%,26%,68%,36%,64%
96,60%,38%,58%,42%,61%,39%,59%,41%,52%,40%,56%,44%
97,60%,37%,56%,44%,60%,40%,56%,44%,54%,39%,59%,41%
98,60%,38%,58%,42%,61%,39%,58%,42%,51%,40%,57%,43%
99,58%,40%,57%,43%,60%,40%,56%,44%,50%,43%,54%,46%
100,56%,41%,54%,46%,61%,39%,60%,40%,44%,45%,54%,46%
"Unassigned",,,,,,,,,,,,
