"DISTRICT","2000 Pres.
 % Rep.","2000 Pres. 
% Dem.","2000 US 
Sen. % Rep.","2000 US 
Sen. % Dem.","1997 Gov.
 % Rep.","1997 Gov.
 % Dem.","1997 Lt. 
Gov. % Rep.","1997 Lt. 
Gov. % Dem.","1996 Pres.
 % Rep.","1996 Pres. 
% Dem.","1996 US 
Sen. % Rep.","1996 US 
Sen. % Dem."
77,39%,60%,39%,61%,46%,54%,43%,57%,33%,61%,40%,60%
78,64%,35%,61%,39%,67%,33%,64%,36%,57%,35%,59%,41%
79,47%,52%,45%,55%,53%,47%,50%,50%,41%,51%,52%,48%
80,35%,64%,35%,65%,41%,59%,38%,62%,29%,65%,38%,62%
81,58%,40%,55%,45%,59%,41%,56%,44%,49%,42%,54%,46%
82,61%,37%,56%,44%,60%,40%,59%,41%,56%,37%,65%,35%
83,55%,43%,53%,47%,61%,39%,60%,40%,50%,42%,58%,42%
84,55%,44%,54%,46%,63%,37%,61%,39%,49%,43%,53%,47%
85,56%,43%,54%,46%,62%,38%,61%,39%,51%,42%,58%,42%
86,34%,65%,33%,67%,39%,61%,36%,64%,29%,65%,40%,60%
87,52%,46%,50%,50%,58%,42%,56%,44%,45%,46%,55%,45%
88,29%,68%,27%,73%,31%,69%,28%,72%,26%,70%,39%,61%
89,68%,29%,68%,32%,71%,29%,69%,31%,60%,31%,62%,38%
90,34%,65%,35%,65%,44%,56%,41%,59%,30%,64%,39%,61%
91,65%,33%,61%,39%,66%,34%,63%,37%,56%,35%,64%,36%
92,35%,65%,34%,66%,42%,58%,42%,58%,31%,62%,40%,60%
93,49%,50%,47%,53%,58%,42%,56%,44%,45%,47%,54%,46%
94,54%,45%,50%,50%,61%,39%,58%,42%,51%,43%,59%,41%
95,34%,65%,33%,67%,40%,60%,38%,62%,31%,64%,42%,58%
96,56%,42%,52%,48%,60%,40%,58%,42%,50%,43%,57%,43%
97,59%,38%,55%,45%,59%,41%,55%,45%,53%,40%,59%,41%
98,64%,35%,64%,36%,65%,35%,62%,38%,56%,36%,55%,45%
99,59%,39%,58%,42%,61%,39%,57%,43%,51%,42%,54%,46%
100,57%,41%,54%,46%,61%,39%,60%,40%,45%,44%,54%,46%
