"DISTRICT","TOTALPOP","WHITE","% White","BLACK","% Black","AMIND","% AmInd","ASIAN","% Asian","HAWPI","OTHER","MULTI","HISP","% Hispanic"
24,69520,61255,88.1%,6895,9.9%,482,0.7%,461,0.7%,31,272,124,614,0.9%
25,72317,67101,92.8%,3777,5.2%,349,0.5%,417,0.6%,17,534,122,1361,1.9%
26,70945,63857,90%,2865,4%,235,0.3%,1671,2.4%,28,2091,198,5076,7.2%
27,70576,51524,73%,15472,21.9%,428,0.6%,1798,2.5%,45,1003,306,1717,2.4%
28,70096,56405,80.5%,10085,14.4%,623,0.9%,1347,1.9%,85,1213,338,2584,3.7%
29,69941,63500,90.8%,3933,5.6%,376,0.5%,762,1.1%,28,1165,177,2149,3.1%
30,69315,56605,81.7%,11098,16%,344,0.5%,454,0.7%,18,611,185,1249,1.8%
31,70499,47402,67.2%,16026,22.7%,498,0.7%,3021,4.3%,141,2722,689,5197,7.4%
32,71810,58709,81.8%,5048,7%,266,0.4%,5447,7.6%,73,1862,405,4046,5.6%
33,70956,63051,88.9%,4764,6.7%,289,0.4%,1381,1.9%,35,1234,202,2504,3.5%
34,69893,57250,81.9%,1923,2.8%,221,0.3%,8787,12.6%,44,1357,311,2649,3.8%
35,70857,56056,79.1%,2865,4%,248,0.4%,9428,13.3%,45,1848,367,4105,5.8%
36,70596,53332,75.5%,5907,8.4%,321,0.5%,7519,10.7%,60,2984,473,6166,8.7%
37,69558,50222,72.2%,4341,6.2%,327,0.5%,10366,14.9%,71,3704,527,7241,10.4%
38,71701,42775,59.7%,6687,9.3%,372,0.5%,12181,17%,56,8679,951,16083,22.4%
39,71856,45811,63.8%,4165,5.8%,336,0.5%,15202,21.2%,88,5639,615,10357,14.4%
40,71273,53593,75.2%,4946,6.9%,313,0.4%,9706,13.6%,62,2245,408,4689,6.6%
41,71560,52986,74%,3902,5.5%,268,0.4%,11341,15.8%,98,2515,450,5556,7.8%
42,69645,47228,67.8%,10950,15.7%,386,0.6%,7863,11.3%,111,2443,664,5142,7.4%
43,70425,48110,68.3%,9962,14.1%,356,0.5%,8212,11.7%,112,3067,606,6377,9.1%
44,71686,43192,60.3%,16364,22.8%,463,0.6%,4881,6.8%,88,5919,779,10454,14.6%
45,71621,54656,76.3%,10478,14.6%,366,0.5%,2627,3.7%,67,2912,515,5695,8%
46,70944,37515,52.9%,17732,25%,326,0.5%,6879,9.7%,107,6780,1605,10648,15%
47,70306,50297,71.5%,5197,7.4%,413,0.6%,6983,9.9%,68,6681,667,12399,17.6%
48,71802,56384,78.5%,4449,6.2%,373,0.5%,6484,9%,73,3526,513,6945,9.7%
49,70631,29983,42.5%,14273,20.2%,494,0.7%,6647,9.4%,77,17817,1340,28906,40.9%
50,71915,51470,71.6%,9298,12.9%,526,0.7%,2819,3.9%,79,7235,488,11357,15.8%
51,69418,47756,68.8%,13388,19.3%,412,0.6%,3705,5.3%,119,3277,761,6413,9.2%
52,71116,44419,62.5%,17954,25.2%,600,0.8%,3214,4.5%,117,3999,813,7859,11.1%
53,71895,51258,71.3%,3188,4.4%,317,0.4%,12364,17.2%,64,4316,388,8831,12.3%
54,71369,58507,82%,9985,14%,505,0.7%,1056,1.5%,65,951,300,2045,2.9%
55,69763,60956,87.4%,7209,10.3%,378,0.5%,707,1%,9,340,164,744,1.1%
56,70103,56584,80.7%,11225,16%,302,0.4%,1482,2.1%,21,331,158,855,1.2%
57,70576,51781,73.4%,13314,18.9%,222,0.3%,3954,5.6%,30,908,367,1905,2.7%
58,69956,62005,88.6%,5987,8.6%,284,0.4%,967,1.4%,18,558,137,1200,1.7%
59,70616,49145,69.6%,20277,28.7%,323,0.5%,270,0.4%,24,379,198,1003,1.4%
60,69676,42717,61.3%,25871,37.1%,246,0.4%,287,0.4%,25,350,180,850,1.2%
61,69970,43266,61.8%,25577,36.6%,277,0.4%,221,0.3%,11,473,145,885,1.3%
62,71382,50800,71.2%,17133,24%,537,0.8%,1116,1.6%,83,1319,394,2592,3.6%
63,69833,26825,38.4%,41533,59.5%,270,0.4%,436,0.6%,34,442,293,875,1.3%
64,71384,52454,73.5%,16739,23.4%,362,0.5%,1151,1.6%,43,416,219,1029,1.4%
65,70062,61412,87.7%,6447,9.2%,241,0.3%,1495,2.1%,14,332,121,827,1.2%
66,70100,58904,84%,8183,11.7%,376,0.5%,1743,2.5%,52,656,186,1411,2%
67,69535,52724,75.8%,3961,5.7%,309,0.4%,10028,14.4%,55,2082,376,4645,6.7%
68,70442,59369,84.3%,7999,11.4%,282,0.4%,1666,2.4%,34,765,327,1319,1.9%
69,69569,22050,31.7%,43215,62.1%,324,0.5%,1136,1.6%,120,2126,598,3264,4.7%
70,70274,22988,32.7%,43385,61.7%,417,0.6%,736,1%,39,2153,556,3392,4.8%
71,69540,24789,35.6%,42230,60.7%,277,0.4%,1256,1.8%,32,539,417,921,1.3%
72,70775,59440,84%,5670,8%,243,0.3%,4352,6.1%,44,825,201,1580,2.2%
73,71553,55495,77.6%,10269,14.4%,403,0.6%,3567,5%,38,1368,413,2450,3.4%
74,70867,23216,32.8%,44929,63.4%,978,1.4%,681,1%,28,616,419,1141,1.6%
75,69867,28987,41.5%,39977,57.2%,179,0.3%,238,0.3%,26,318,142,713,1%
76,71957,52829,73.4%,16910,23.5%,437,0.6%,1072,1.5%,40,421,248,1064,1.5%
77,71285,27162,38.1%,42122,59.1%,398,0.6%,740,1%,39,452,372,1005,1.4%
78,70798,55975,79.1%,11037,15.6%,481,0.7%,2232,3.2%,60,711,302,1752,2.5%
79,70758,41114,58.1%,26091,36.9%,543,0.8%,1647,2.3%,93,759,511,1604,2.3%
80,70554,27225,38.6%,41288,58.5%,452,0.6%,661,0.9%,70,461,397,1047,1.5%
81,72077,54786,76%,12708,17.6%,640,0.9%,1967,2.7%,109,1332,535,3119,4.3%
82,71737,62490,87.1%,5940,8.3%,435,0.6%,1491,2.1%,100,1001,280,2351,3.3%
83,71766,51613,71.9%,14471,20.2%,541,0.8%,3107,4.3%,87,1317,630,2938,4.1%
84,72047,49194,68.3%,15118,21%,583,0.8%,4820,6.7%,109,1561,662,3497,4.9%
85,72039,50669,70.3%,13672,19%,429,0.6%,5634,7.8%,81,1072,482,2410,3.3%
86,71069,46825,65.9%,6452,9.1%,350,0.5%,10375,14.6%,64,6300,703,10979,15.4%
87,72192,47349,65.6%,18562,25.7%,784,1.1%,2727,3.8%,122,1866,782,3601,5%
88,70544,58628,83.1%,8394,11.9%,522,0.7%,1430,2%,85,1074,411,2427,3.4%
89,71727,26910,37.5%,41166,57.4%,472,0.7%,1687,2.4%,81,852,559,1727,2.4%
90,71743,26156,36.5%,41847,58.3%,390,0.5%,1718,2.4%,63,947,622,1990,2.8%
91,71410,56069,78.5%,11743,16.4%,521,0.7%,1652,2.3%,96,900,429,2016,2.8%
92,70108,23620,33.7%,42998,61.3%,477,0.7%,1331,1.9%,78,788,816,1772,2.5%
93,69465,41702,60%,22215,32%,482,0.7%,2415,3.5%,121,1760,770,3480,5%
94,71484,47985,67.1%,18085,25.3%,508,0.7%,2263,3.2%,124,1750,769,3221,4.5%
95,70644,24622,34.9%,43284,61.3%,381,0.5%,959,1.4%,54,604,740,1462,2.1%
96,69533,54811,78.8%,10780,15.5%,428,0.6%,2281,3.3%,87,773,373,1838,2.6%
97,71205,55426,77.8%,13831,19.4%,884,1.2%,428,0.6%,17,357,262,679,1%
98,70444,56373,80%,12494,17.7%,555,0.8%,510,0.7%,33,323,156,840,1.2%
99,71978,50550,70.2%,19715,27.4%,458,0.6%,410,0.6%,37,629,179,1381,1.9%
100,72110,43261,60%,23737,32.9%,543,0.8%,1154,1.6%,76,2994,345,4514,6.3%
