"DISTRICT","2000 Pres. 
% Rep.","2000 Pres. 
% Dem.","2000 US 
Sen. % Rep.","2000 US 
Sen. % Dem.","1997 Gov. 
% Rep.","1997 Gov. 
% Dem.","1997 Lt. Gov. 
% Rep.","1997 Lt. Gov. 
% Dem.","1996 Pres. 
% Rep.","1996 Pres. 
% Dem.","1996 US 
Sen. % Rep.","1996 US 
Sen. % Dem.","USSEND96","USSENR96"
59,52%,45%,53%,47%,54%,46%,38%,62%,43%,48%,47%,53%,12316,10721
60,55%,44%,54%,46%,60%,40%,48%,52%,48%,44%,50%,50%,10692,10758
61,58%,41%,59%,41%,62%,38%,47%,53%,49%,43%,53%,47%,10131,11419
62,63%,36%,63%,37%,69%,31%,64%,36%,57%,34%,53%,47%,10238,11738
63,36%,63%,39%,61%,44%,56%,40%,60%,31%,63%,35%,65%,14226,7550
64,56%,42%,52%,48%,55%,45%,53%,47%,47%,45%,56%,44%,11296,14393
65,71%,28%,69%,31%,72%,28%,70%,30%,66%,27%,64%,36%,9676,17296
66,69%,30%,68%,32%,73%,27%,69%,31%,64%,28%,61%,39%,9587,14711
67,55%,42%,55%,45%,59%,41%,59%,41%,53%,41%,59%,41%,9280,13104
68,60%,37%,57%,43%,63%,37%,62%,38%,61%,34%,62%,38%,12119,19688
69,25%,72%,28%,72%,34%,66%,33%,67%,26%,68%,29%,71%,14079,5748
70,27%,71%,30%,70%,36%,64%,34%,66%,27%,67%,30%,70%,13073,5485
71,24%,71%,24%,76%,28%,72%,29%,71%,24%,71%,29%,71%,14939,6088
72,64%,34%,62%,38%,68%,32%,65%,35%,62%,33%,61%,39%,11386,17731
73,60%,38%,58%,42%,64%,36%,63%,37%,59%,35%,59%,41%,12441,17978
74,29%,70%,31%,69%,36%,64%,33%,67%,28%,67%,30%,70%,15595,6617
75,43%,57%,43%,57%,48%,52%,44%,56%,34%,59%,41%,59%,13136,8978
76,58%,41%,56%,44%,62%,38%,60%,40%,51%,41%,58%,42%,10473,14561
77,30%,69%,31%,69%,37%,63%,34%,66%,25%,70%,32%,68%,14317,6791
78,61%,38%,59%,41%,67%,33%,65%,35%,56%,37%,59%,41%,9108,13274
79,47%,52%,44%,56%,52%,48%,50%,50%,43%,50%,53%,47%,9743,10979
80,27%,71%,27%,73%,32%,68%,30%,70%,23%,72%,34%,66%,15306,7893
81,61%,37%,58%,42%,63%,37%,60%,40%,52%,40%,55%,45%,7281,9062
82,61%,37%,56%,44%,60%,40%,59%,41%,56%,37%,66%,34%,9322,17949
83,55%,44%,52%,48%,60%,40%,60%,40%,49%,43%,57%,43%,9026,12013
84,55%,43%,54%,46%,61%,39%,59%,41%,48%,43%,52%,48%,7421,8157
85,57%,42%,55%,45%,62%,38%,62%,38%,52%,40%,60%,40%,10322,15257
86,50%,47%,51%,49%,58%,42%,57%,43%,50%,44%,56%,44%,8271,10581
87,50%,48%,49%,51%,56%,44%,53%,47%,43%,48%,54%,46%,7928,9477
88,62%,36%,61%,39%,65%,35%,61%,39%,55%,37%,54%,46%,8567,10070
89,27%,72%,27%,73%,32%,68%,29%,71%,23%,72%,35%,65%,13653,7210
90,32%,68%,33%,67%,41%,59%,39%,61%,27%,67%,35%,65%,11748,6461
91,63%,36%,58%,42%,65%,35%,62%,38%,55%,36%,64%,36%,8382,14661
92,29%,70%,29%,71%,36%,64%,37%,63%,27%,67%,36%,64%,12241,6822
93,51%,48%,48%,52%,60%,40%,58%,42%,48%,46%,56%,44%,7325,9267
94,57%,42%,53%,47%,61%,39%,58%,42%,53%,40%,63%,37%,8840,15190
95,31%,68%,32%,68%,40%,60%,38%,62%,28%,66%,38%,62%,13509,8135
96,60%,38%,56%,44%,62%,38%,60%,40%,53%,40%,60%,40%,9104,13387
97,62%,37%,62%,38%,63%,37%,58%,42%,54%,38%,51%,49%,12612,13272
98,62%,36%,60%,40%,62%,38%,60%,40%,50%,40%,57%,43%,11250,14855
99,59%,40%,58%,42%,61%,39%,57%,43%,50%,42%,54%,46%,11414,13346
100,52%,46%,49%,51%,58%,42%,57%,43%,41%,48%,51%,49%,7992,8441
